技能Id,中文名,法术释放方式,法系,技能等级,法阵ID,直接效果,主buff,攻击类型,法术范围,法术CD,持续时间,对空地,升级材料ID,进阶材料ID,法术使用积分,法术使用,图标使用,附加资源ID,冷却时间,进阶冷却时间
210438,闪电,3,4,38,211501,dmg:57360-62360,,,0,25000,0,2,133140:60;133143:46;133146:27,,1,210401,210401,,1800,0
210439,闪电,3,4,39,211501,dmg:58800-63800,,,0,25000,0,2,133140:60;133143:48;133146:28,,1,210401,210401,,1800,0
210440,闪电,3,4,40,211501,dmg:60250-65250,,,0,25000,0,2,133140:60;133143:50;133146:29,,1,210401,210401,,1800,0
210441,闪电,3,4,41,211501,dmg:61690-66690,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210442,闪电,3,4,42,211501,dmg:63140-68140,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210443,闪电,3,4,43,211501,dmg:64580-69580,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210444,闪电,3,4,44,211501,dmg:66030-71030,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210445,闪电,3,4,45,211501,dmg:67470-72470,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210446,闪电,3,4,46,211501,dmg:68920-73920,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210447,闪电,3,4,47,211501,dmg:70360-75360,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210448,闪电,3,4,48,211501,dmg:71810-76810,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210449,闪电,3,4,49,211501,dmg:73260-78260,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210450,闪电,3,4,50,211501,dmg:74700-79700,,,0,25000,0,2,133141:65;133144:50;133147:30,,1,210401,210401,,3600,0
210451,闪电,3,4,51,211501,dmg:76150-81150,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210452,闪电,3,4,52,211501,dmg:77590-82590,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210453,闪电,3,4,53,211501,dmg:79040-84040,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210454,闪电,3,4,54,211501,dmg:80480-85480,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210455,闪电,3,4,55,211501,dmg:81930-86930,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210456,闪电,3,4,56,211501,dmg:83370-88370,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210457,闪电,3,4,57,211501,dmg:84820-89820,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210458,闪电,3,4,58,211501,dmg:86260-91260,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210459,闪电,3,4,59,211501,dmg:87710-92710,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210460,闪电,3,4,60,211501,dmg:89150-94150,,,0,25000,0,2,133142:70;133145:55;133148:35,,1,210401,210401,,7200,0
210501,落雷,3,5,1,211501,dmg:5860-13360,"buff:221006,duration:3000,stun:1",,0,25000,0,2,,133032:20,1,210501,210501,,0,0
210502,落雷,3,5,2,211501,dmg:7980-15480,"buff:221006,duration:3000,stun:1",,0,25000,0,2,,133032:20,1,210501,210501,,0,0
210503,落雷,3,5,3,211501,dmg:10140-17640,"buff:221006,duration:3000,stun:1",,0,25000,0,2,,133032:20,1,210501,210501,,0,0
210504,落雷,3,5,4,211501,dmg:12300-19800,"buff:221006,duration:3000,stun:1",,0,25000,0,2,,133032:20,1,210501,210501,,0,0
210505,落雷,3,5,5,211501,dmg:14470-21970,"buff:221006,duration:3000,stun:1",,0,25000,0,2,,133032:20,1,210501,210501,,0,0
210506,落雷,3,5,6,211501,dmg:16630-24130,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:1,133032:20,1,210501,210501,,30,0
210507,落雷,3,5,7,211501,dmg:18790-26290,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:1,133032:20,1,210501,210501,,60,0
210508,落雷,3,5,8,211501,dmg:20960-28460,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:2,133032:20,1,210501,210501,,60,0
210509,落雷,3,5,9,211501,dmg:23120-30620,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:2,133032:20,1,210501,210501,,120,0
210510,落雷,3,5,10,211501,dmg:25280-32780,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:3,133032:20,1,210501,210501,,120,0
210511,落雷,3,5,11,211501,dmg:27450-34950,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:3;133044:1,133032:20,1,210501,210501,,300,0
210512,落雷,3,5,12,211501,dmg:29610-37110,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:5;133044:2,133032:20,1,210501,210501,,300,0
210513,落雷,3,5,13,211501,dmg:31770-39270,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:7;133044:3,133032:20,1,210501,210501,,300,0
210514,落雷,3,5,14,211501,dmg:33940-41440,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:9;133044:4,133032:20,1,210501,210501,,300,0
210515,落雷,3,5,15,211501,dmg:36100-43600,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:11;133044:5,133032:20,1,210501,210501,,300,0
210516,落雷,3,5,16,211501,dmg:38260-45760,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:13;133044:6,133032:20,1,210501,210501,,300,0
210517,落雷,3,5,17,211501,dmg:40430-47930,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:15;133044:7,133032:20,1,210501,210501,,300,0
210518,落雷,3,5,18,211501,dmg:42590-50090,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:17;133044:8,133032:20,1,210501,210501,,300,0
210519,落雷,3,5,19,211501,dmg:44750-52250,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:19;133044:9,133032:20,1,210501,210501,,300,0
210520,落雷,3,5,20,211501,dmg:46920-54420,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:21;133044:10,133032:20,1,210501,210501,,300,0
210521,落雷,3,5,21,211501,dmg:49080-56580,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:23;133044:12;133048:10,133032:20,1,210501,210501,,300,0
210522,落雷,3,5,22,211501,dmg:51250-58750,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:25;133044:14;133048:11,133032:20,1,210501,210501,,300,0
210523,落雷,3,5,23,211501,dmg:53410-60910,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:27;133044:16;133048:12,133032:20,1,210501,210501,,300,0
210524,落雷,3,5,24,211501,dmg:55570-63070,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:29;133044:18;133048:13,133032:20,1,210501,210501,,300,0
210525,落雷,3,5,25,211501,dmg:57740-65240,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:31;133044:20;133048:14,133032:20,1,210501,210501,,300,0
210526,落雷,3,5,26,211501,dmg:59900-67400,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:33;133044:22;133048:15,133032:20,1,210501,210501,,300,0
210527,落雷,3,5,27,211501,dmg:62060-69560,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:36;133044:24;133048:16,133032:20,1,210501,210501,,300,0
210528,落雷,3,5,28,211501,dmg:64230-71730,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:39;133044:26;133048:17,133032:20,1,210501,210501,,300,0
210529,落雷,3,5,29,211501,dmg:66390-73890,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:42;133044:28;133048:18,133032:20,1,210501,210501,,300,0
210530,落雷,3,5,30,211501,dmg:68550-76050,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133046:45;133044:30;133048:19,133032:20,1,210501,210501,,300,0
210531,落雷,3,5,31,211501,dmg:70720-78220,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:48;133143:32;133146:20,133032:20,1,210501,210501,,1800,0
210532,落雷,3,5,32,211501,dmg:72880-80380,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:51;133143:34;133146:21,133032:20,1,210501,210501,,1800,0
210533,落雷,3,5,33,211501,dmg:75040-82540,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:54;133143:36;133146:22,133032:20,1,210501,210501,,1800,0
210534,落雷,3,5,34,211501,dmg:77210-84710,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:57;133143:38;133146:23,133032:20,1,210501,210501,,1800,0
210535,落雷,3,5,35,211501,dmg:79370-86870,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:60;133143:40;133146:24,133032:20,1,210501,210501,,1800,0
210536,落雷,3,5,36,211501,dmg:81530-89030,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:60;133143:42;133146:25,133032:20,1,210501,210501,,1800,0
210537,落雷,3,5,37,211501,dmg:83700-91200,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:60;133143:44;133146:26,133032:20,1,210501,210501,,1800,0
210538,落雷,3,5,38,211501,dmg:85860-93360,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:60;133143:46;133146:27,133032:20,1,210501,210501,,1800,0
210539,落雷,3,5,39,211501,dmg:88020-95520,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:60;133143:48;133146:28,133032:20,1,210501,210501,,1800,0
210540,落雷,3,5,40,211501,dmg:90190-97690,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133140:60;133143:50;133146:29,133032:20,1,210501,210501,,1800,0
210541,落雷,3,5,41,211501,dmg:92350-99850,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210542,落雷,3,5,42,211501,dmg:94510-102010,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210543,落雷,3,5,43,211501,dmg:96680-104180,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210544,落雷,3,5,44,211501,dmg:98840-106340,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210545,落雷,3,5,45,211501,dmg:101000-108500,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210546,落雷,3,5,46,211501,dmg:103170-110670,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210547,落雷,3,5,47,211501,dmg:105330-112830,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210548,落雷,3,5,48,211501,dmg:107500-115000,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210549,落雷,3,5,49,211501,dmg:109660-117160,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210550,落雷,3,5,50,211501,dmg:111820-119320,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133141:65;133144:50;133147:30,133032:20,1,210501,210501,,3600,0
210551,落雷,3,5,51,211501,dmg:113990-121490,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210552,落雷,3,5,52,211501,dmg:116150-123650,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210553,落雷,3,5,53,211501,dmg:118310-125810,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210554,落雷,3,5,54,211501,dmg:120480-127980,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210555,落雷,3,5,55,211501,dmg:122640-130140,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210556,落雷,3,5,56,211501,dmg:124800-132300,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210557,落雷,3,5,57,211501,dmg:126970-134470,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210558,落雷,3,5,58,211501,dmg:129130-136630,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210559,落雷,3,5,59,211501,dmg:131290-138790,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210560,落雷,3,5,60,211501,dmg:133460-140960,"buff:221006,duration:3000,stun:1",,0,25000,0,2,133142:70;133145:55;133148:35,133032:20,1,210501,210501,,7200,0
210601,激光,3,6,1,211501,dmg:6070-16070,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,,133032:50,1,210601,210601,,0,0
210602,激光,3,6,2,211501,dmg:8510-18510,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,,133032:50,1,210601,210601,,0,0
210603,激光,3,6,3,211501,dmg:11000-21000,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,,133032:50,1,210601,210601,,0,0
210604,激光,3,6,4,211501,dmg:13490-23490,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,,133032:50,1,210601,210601,,0,0
210605,激光,3,6,5,211501,dmg:15980-25980,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,,133032:50,1,210601,210601,,0,0
210606,激光,3,6,6,211501,dmg:18470-28470,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:1,133032:50,1,210601,210601,,30,0
210607,激光,3,6,7,211501,dmg:20970-30970,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:1,133032:50,1,210601,210601,,60,0
210608,激光,3,6,8,211501,dmg:23460-33460,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:2,133032:50,1,210601,210601,,60,0
210609,激光,3,6,9,211501,dmg:25950-35950,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:2,133032:50,1,210601,210601,,120,0
210610,激光,3,6,10,211501,dmg:28440-38440,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:3,133032:50,1,210601,210601,,120,0
210611,激光,3,6,11,211501,dmg:30930-40930,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:3;133044:1,133032:50,1,210601,210601,,300,0
210612,激光,3,6,12,211501,dmg:33430-43430,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:5;133044:2,133032:50,1,210601,210601,,300,0
210613,激光,3,6,13,211501,dmg:35920-45920,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:7;133044:3,133032:50,1,210601,210601,,300,0
210614,激光,3,6,14,211501,dmg:38410-48410,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:9;133044:4,133032:50,1,210601,210601,,300,0
210615,激光,3,6,15,211501,dmg:40900-50900,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:11;133044:5,133032:50,1,210601,210601,,300,0
210616,激光,3,6,16,211501,dmg:43390-53390,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:13;133044:6,133032:50,1,210601,210601,,300,0
210617,激光,3,6,17,211501,dmg:45880-55880,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:15;133044:7,133032:50,1,210601,210601,,300,0
210618,激光,3,6,18,211501,dmg:48380-58380,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:17;133044:8,133032:50,1,210601,210601,,300,0
210619,激光,3,6,19,211501,dmg:50870-60870,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:19;133044:9,133032:50,1,210601,210601,,300,0
210620,激光,3,6,20,211501,dmg:53360-63360,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:21;133044:10,133032:50,1,210601,210601,,300,0
210621,激光,3,6,21,211501,dmg:55850-65850,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:23;133044:12;133048:10,133032:50,1,210601,210601,,300,0
210622,激光,3,6,22,211501,dmg:58340-68340,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:25;133044:14;133048:11,133032:50,1,210601,210601,,300,0
210623,激光,3,6,23,211501,dmg:60840-70840,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:27;133044:16;133048:12,133032:50,1,210601,210601,,300,0
210624,激光,3,6,24,211501,dmg:63330-73330,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:29;133044:18;133048:13,133032:50,1,210601,210601,,300,0
210625,激光,3,6,25,211501,dmg:65820-75820,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:31;133044:20;133048:14,133032:50,1,210601,210601,,300,0
210626,激光,3,6,26,211501,dmg:68310-78310,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:33;133044:22;133048:15,133032:50,1,210601,210601,,300,0
210627,激光,3,6,27,211501,dmg:70800-80800,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:36;133044:24;133048:16,133032:50,1,210601,210601,,300,0
210628,激光,3,6,28,211501,dmg:73300-83300,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:39;133044:26;133048:17,133032:50,1,210601,210601,,300,0
210629,激光,3,6,29,211501,dmg:75790-85790,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:42;133044:28;133048:18,133032:50,1,210601,210601,,300,0
210630,激光,3,6,30,211501,dmg:78280-88280,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133046:45;133044:30;133048:19,133032:50,1,210601,210601,,300,0
210631,激光,3,6,31,211501,dmg:80770-90770,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:48;133143:32;133146:20,133032:50,1,210601,210601,,1800,0
210632,激光,3,6,32,211501,dmg:83260-93260,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:51;133143:34;133146:21,133032:50,1,210601,210601,,1800,0
210633,激光,3,6,33,211501,dmg:85750-95750,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:54;133143:36;133146:22,133032:50,1,210601,210601,,1800,0
210634,激光,3,6,34,211501,dmg:88250-98250,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:57;133143:38;133146:23,133032:50,1,210601,210601,,1800,0
210635,激光,3,6,35,211501,dmg:90740-100740,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:60;133143:40;133146:24,133032:50,1,210601,210601,,1800,0
210636,激光,3,6,36,211501,dmg:93230-103230,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:60;133143:42;133146:25,133032:50,1,210601,210601,,1800,0
210637,激光,3,6,37,211501,dmg:95720-105720,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:60;133143:44;133146:26,133032:50,1,210601,210601,,1800,0
210638,激光,3,6,38,211501,dmg:98210-108210,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:60;133143:46;133146:27,133032:50,1,210601,210601,,1800,0
210639,激光,3,6,39,211501,dmg:100710-110710,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:60;133143:48;133146:28,133032:50,1,210601,210601,,1800,0
210640,激光,3,6,40,211501,dmg:103200-113200,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133140:60;133143:50;133146:29,133032:50,1,210601,210601,,1800,0
210641,激光,3,6,41,211501,dmg:105690-115690,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210642,激光,3,6,42,211501,dmg:108180-118180,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210643,激光,3,6,43,211501,dmg:110670-120670,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210644,激光,3,6,44,211501,dmg:113170-123170,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210645,激光,3,6,45,211501,dmg:115660-125660,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210646,激光,3,6,46,211501,dmg:118150-128150,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210647,激光,3,6,47,211501,dmg:120640-130640,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210648,激光,3,6,48,211501,dmg:123130-133130,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210649,激光,3,6,49,211501,dmg:125620-135620,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210650,激光,3,6,50,211501,dmg:128120-138120,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133141:65;133144:50;133147:30,133032:50,1,210601,210601,,3600,0
210651,激光,3,6,51,211501,dmg:130610-140610,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210652,激光,3,6,52,211501,dmg:133100-143100,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210653,激光,3,6,53,211501,dmg:135590-145590,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210654,激光,3,6,54,211501,dmg:138080-148080,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210655,激光,3,6,55,211501,dmg:140580-150580,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210656,激光,3,6,56,211501,dmg:143070-153070,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210657,激光,3,6,57,211501,dmg:145560-155560,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210658,激光,3,6,58,211501,dmg:148050-158050,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210659,激光,3,6,59,211501,dmg:150540-160540,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210660,激光,3,6,60,211501,dmg:153040-163040,"buff:221006,duration:3000,stun:1|buff:220065,duration:3000,def:-30,magicDef:-30",,0,25000,0,2,133142:70;133145:55;133148:35,133032:50,1,210601,210601,,7200,0
210701,冰雹,1,7,1,210801,dmg:1405-2205,,,80,50000,1200,2,,,1,210701,210701,,0,0
210702,冰雹,1,7,2,210801,dmg:2095-2895,,,80,50000,1200,2,,,1,210701,210701,,0,0
210703,冰雹,1,7,3,210801,dmg:2790-3590,,,80,50000,1200,2,,,1,210701,210701,,0,0
210704,冰雹,1,7,4,210801,dmg:3485-4285,,,80,50000,1200,2,,,1,210701,210701,,0,0
210705,冰雹,1,7,5,210801,dmg:4175-4975,,,80,50000,1200,2,,,1,210701,210701,,0,0
210706,冰雹,1,7,6,210801,dmg:4870-5670,,,80,50000,1200,2,133046:1,,1,210701,210701,,30,0
210707,冰雹,1,7,7,210801,dmg:5560-6360,,,80,50000,1200,2,133046:1,,1,210701,210701,,60,0
210708,冰雹,1,7,8,210801,dmg:6255-7055,,,80,50000,1200,2,133046:2,,1,210701,210701,,60,0
210709,冰雹,1,7,9,210801,dmg:6950-7750,,,80,50000,1200,2,133046:2,,1,210701,210701,,120,0
210710,冰雹,1,7,10,210801,dmg:7640-8440,,,80,50000,1200,2,133046:3,,1,210701,210701,,120,0
210711,冰雹,1,7,11,210801,dmg:8335-9135,,,80,50000,1200,2,133046:3;133044:1,,1,210701,210701,,300,0
210712,冰雹,1,7,12,210801,dmg:9025-9825,,,80,50000,1200,2,133046:5;133044:2,,1,210701,210701,,300,0
