object_list,小波次表,,,,,,,,,
怪物组Id,跑道类型,出场次数,间隔时间,开始时间,出口跑道编号,怪物Id,怪物数量,关卡ID,,
3210504,0,5,1500,17000,1,141030,5,16,,
3210505,1,17,500,22000,0,141029,17,16,,
3210506,1,17,500,26000,1,141029,17,16,,
3210601,0,8,1000,2000,0,141059,9,16,,
3210602,0,8,1000,6000,0,141059,9,16,,
3210603,0,5,3000,8000,1,141058,5,16,,
3210604,0,10,2000,12000,1,141030,10,16,,
3210605,0,17,1000,16000,0,141059,17,16,,
3210606,1,10,1500,21000,0,141057,17,16,,
3210701,0,5,6000,2000,1,141035,5,16,,
3210702,0,5,3000,5000,0,141035,5,16,,
3210703,0,6,800,6000,1,141063,12,16,,
3210704,0,6,800,8000,0,141063,12,16,,
3210801,1,3,3000,2000,1,141033,3,16,,
3210802,0,5,2000,6000,0,141035,10,16,,
3210803,0,8,3500,7000,1,141031,9,16,,
3210901,0,3,1500,2000,1,141033,3,16,,
3210902,0,3,3000,7000,1,142032,7,16,,
3210903,0,5,2000,13000,0,141031,5,16,,
3210904,0,3,2000,17000,0,141030,3,16,,
3210905,1,5,3500,20000,1,142032,5,16,,
3210906,1,5,1500,23000,0,141059,5,16,,
3210907,0,8,1000,27000,1,141034,17,16,,
3211001,0,5,2000,2000,0,141031,5,16,,
3211002,1,5,1000,5000,1,142032,10,16,,
3211003,0,6,2000,11000,1,141031,7,16,,
3211004,0,5,3000,22000,0,141034,10,16,,
3211005,0,3,7000,26000,0,141035,3,16,,
3211006,0,5,2000,37000,1,141063,5,16,,
3211007,0,3,2000,44000,1,141035,3,16,,
3211008,0,6,8000,65000,0,141033,7,16,,
3211101,0,5,2500,2000,1,141034,10,16,,
3211102,1,5,2000,7000,1,141063,5,16,,
3211103,1,5,2000,13000,0,141063,5,16,,
3211104,0,3,3000,19000,0,141059,3,16,,
3211105,0,3,2000,26000,1,141059,3,16,,
3211106,0,5,1000,29000,1,141031,5,16,,
3211201,0,3,3000,2000,1,141035,3,16,,
3211202,0,10,1000,6000,1,142032,10,16,,
3211203,0,3,3000,10000,0,141033,3,16,,
3211204,0,10,2000,13000,0,141063,10,16,,
3211205,1,1,1000,20000,1,141035,2,16,,
3211206,0,6,3000,23000,1,141031,7,16,,
3211207,0,5,3000,30000,0,141034,10,16,,
3211301,1,8,2000,2000,0,141035,9,16,,
3211302,0,3,1500,6000,0,141063,3,16,,
3211303,1,17,1000,10000,1,142032,17,16,,
3211304,0,8,3000,14000,1,141033,9,16,,
3211305,1,5,1500,19000,0,141058,10,16,,
3211306,1,5,1500,24000,1,141058,10,16,,
3211307,1,8,3000,29000,0,141033,9,16,,
3211308,0,17,1000,40000,0,141063,17,16,,
3211401,1,1,1000,2000,1,142037,1,16,,
3211402,0,17,800,3000,1,141031,17,16,,
3211403,0,8,3000,8000,0,141059,17,16,,
3211404,0,8,1000,16000,1,142032,9,16,,
3211405,1,17,2000,26000,0,141035,17,16,,
3211406,0,17,3500,32000,1,141034,17,16,,
3211407,0,17,3000,39000,0,141030,17,16,,
3211408,0,8,2000,48000,1,141033,9,16,,
3310101,0,6,1500,2000,0,141039,7,17,,
3310102,0,5,1500,4500,0,141039,7,17,,
3310201,0,3,3000,2000,0,141038,3,17,,
3310202,0,6,1000,5500,0,141039,7,17,,
3310301,0,8,3000,2000,1,141039,9,17,,
3310302,0,3,1000,9000,1,141038,3,17,,
3310401,0,3,6000,2000,1,142045,3,17,,
3310402,0,3,1000,8000,1,141038,3,17,,
3310403,0,6,1500,10000,1,141039,9,17,,
3310501,0,3,14000,2000,0,141043,3,17,,
3310502,0,13,3000,5000,0,141039,14,17,,
3310601,0,3,14000,2000,1,141038,5,17,,
3310602,0,8,2000,5000,1,141039,9,17,,
3310603,0,8,1500,18000,1,141039,9,17,,
3310701,0,1,1000,2000,0,141041,2,17,,
3310702,0,8,3000,6000,0,141043,9,17,,
3310703,0,13,1500,10000,0,141039,17,17,,
3310801,0,10,1500,2000,1,141039,14,17,,
3310802,0,3,1000,2000,1,141038,7,17,,
3310803,0,6,1000,5500,1,141039,10,17,,
3310901,0,8,1500,2000,0,141038,10,17,,
3310902,0,5,1000,5000,0,141043,5,17,,
3310903,0,8,1500,2000,1,141038,10,17,,
3310904,0,5,1000,5000,1,141043,5,17,,
3311001,0,1,1000,2000,1,141041,2,17,,
3311002,0,1,1000,2000,0,141041,2,17,,
3311003,0,3,3000,5000,1,141043,3,17,,
3311004,0,3,3000,5000,0,141043,3,17,,
3311101,0,6,3000,10000,1,142045,7,17,,
3311102,0,6,3000,10000,0,142045,7,17,,
3311201,0,3,6000,2000,0,141041,3,17,,
3311202,0,3,6000,5500,0,141041,3,17,,
3311301,0,5,3000,2000,1,141038,9,17,,
3311302,0,13,600,5500,1,141060,17,17,,
3311303,0,3,2000,6000,1,141043,5,17,,
3311401,0,5,7000,2000,0,141040,5,17,,
3311402,0,10,3000,2500,0,141043,10,17,,
3311403,0,8,1000,2000,1,142045,10,17,,
3311404,0,10,1000,3000,1,141038,10,17,,
3311405,0,10,1000,5500,1,141043,10,17,,
3410101,0,6,1500,2000,0,141039,7,17,,
3410102,0,5,1500,4500,0,141039,7,17,,
3410201,0,3,3000,2000,0,141038,3,17,,
3410202,0,6,1000,5500,0,141039,7,17,,
3410301,0,8,3000,2000,1,141060,9,17,,
3410302,0,3,1000,9000,1,141038,3,17,,
3410401,0,3,6000,2000,1,142045,3,17,,
3410402,0,3,1000,8000,1,141038,3,17,,
3410403,0,6,1500,10000,1,141039,9,17,,
3410501,0,3,14000,2000,0,141043,3,17,,
3410502,0,13,3000,5000,0,141039,14,17,,
3410601,0,3,14000,2000,1,141038,5,17,,
3410602,0,8,2000,5000,1,141039,9,17,,
3410603,0,8,1500,18000,1,141039,9,17,,
3410701,0,1,1000,2000,0,141041,2,17,,
3410702,0,8,3000,6000,0,141043,9,17,,
3410703,0,13,1500,10000,0,141039,17,17,,
3410801,0,10,1500,2000,1,141039,14,17,,
3410802,0,3,1000,2000,1,141038,7,17,,
3410803,0,6,1000,5500,1,141060,10,17,,
3410901,0,8,1500,2000,0,141038,10,17,,
3410902,0,5,1000,5000,0,141043,5,17,,
3410903,0,8,1500,2000,1,141038,10,17,,
3410904,0,5,1000,5000,1,141043,5,17,,
3411001,0,1,1000,2000,1,141041,2,17,,
3411002,0,1,1000,2000,0,141041,2,17,,
3411003,0,3,3000,5000,1,141043,3,17,,
3411004,0,3,3000,5000,0,141043,3,17,,
3411101,0,6,3000,10000,1,142045,7,17,,
3411102,0,6,3000,10000,0,142045,7,17,,
3411201,0,3,6000,2000,0,141041,3,17,,
3411202,0,3,6000,5500,0,141041,3,17,,
3411301,0,5,3000,2000,1,141038,9,17,,
3411302,0,13,600,5500,1,141060,17,17,,
3411303,0,3,2000,6000,1,141043,5,17,,
3411401,0,5,7000,2000,0,141040,5,17,,
3411402,0,10,3000,2500,0,141043,10,17,,
3411403,0,8,1000,2000,1,142045,10,17,,
3411404,0,10,1000,3000,1,141038,10,17,,
3411405,0,10,1000,5500,1,141043,10,17,,
3510101,0,13,1500,2000,0,141039,14,18,,
3510201,0,6,1000,2000,1,141038,7,18,,
3510202,0,6,1000,3000,0,141060,7,18,,
3510301,0,10,1500,2000,1,141060,10,18,,
3510302,0,3,1000,2500,0,141038,7,18,,
3510303,0,8,1000,3000,0,141039,9,18,,
3510401,0,5,3000,2000,1,142061,5,18,,
3510402,0,10,1000,3500,0,141039,10,18,,
3510403,0,3,2000,3000,0,141042,3,18,,
3510501,0,5,800,2000,1,141038,5,18,,
3510502,0,5,1000,3000,0,141039,10,18,,
3510503,0,5,800,8000,1,141038,5,18,,
3510504,0,1,1000,10000,1,141043,2,18,,
3510601,0,3,1500,2000,0,141060,7,18,,
3510602,0,3,2500,6000,0,141042,3,18,,
3510603,0,3,1000,8000,1,141038,5,18,,
3510604,0,1,1000,10000,1,141043,2,18,,
3510605,0,3,5000,16000,0,141038,5,18,,
3510606,0,3,1000,18000,1,141043,3,18,,
3510701,0,1,6000,2000,0,141041,2,18,,
3510702,0,5,800,3000,1,141043,5,18,,
3510703,0,3,5000,14000,1,141041,3,18,,
3510704,0,3,1500,15000,0,141043,5,18,,
3510801,0,5,1000,2000,0,141044,5,18,,
3510802,0,3,7000,5000,1,141041,3,18,,
3510803,0,1,1000,11000,0,141041,2,18,,
3510901,0,5,1500,2000,1,141044,10,18,,
3510902,0,10,3000,4500,0,142045,10,18,,
3510903,0,3,2000,7000,0,141041,3,18,,
3510904,0,3,2000,8000,1,141043,7,18,,
3511001,0,5,5000,2000,1,142045,5,18,,
3511002,0,10,900,3000,0,141039,17,18,,
3511003,0,5,2000,9000,0,142061,5,18,,
3511101,0,3,8000,2000,1,141040,3,18,,
3511102,0,6,1000,5500,1,141043,7,18,,
3511201,0,17,800,2000,0,141039,17,18,,
3511202,0,5,5000,8000,0,141041,5,18,,
3511203,0,17,700,13000,1,141060,26,18,,
3511301,0,5,1000,2000,1,141038,5,18,,
3511302,0,13,1000,5500,0,141039,17,18,,
3511303,0,5,3000,20000,0,141042,5,18,,
3511304,0,5,3500,28000,0,141042,5,18,,
3511305,0,5,2000,34000,1,141041,5,18,,
3511401,1,3,1000,2000,0,141040,3,18,,
3511402,0,5,1000,5500,1,141039,12,18,,
3511403,0,6,1000,8000,0,141039,14,18,,
3511404,1,3,3500,17000,1,141040,3,18,,
3511405,0,10,2500,18000,0,141044,10,18,,
3511406,0,6,2000,22000,0,141044,10,18,,
3610101,0,13,1500,2000,0,141039,14,18,,
3610201,0,6,1000,2000,1,141060,7,18,,
3610202,0,6,1000,3000,0,141039,7,18,,
3610301,0,10,1500,2000,1,141039,10,18,,
3610302,0,3,1000,2500,0,141038,7,18,,
3610303,0,8,1000,3000,0,141039,9,18,,
3610401,0,5,3000,2000,1,142045,5,18,,
3610402,0,10,1000,3500,0,141039,10,18,,
3610403,0,3,2000,3000,0,141042,3,18,,
3610501,0,5,800,2000,1,141038,5,18,,
3610502,0,5,1000,3000,0,141039,10,18,,
3610503,0,5,800,8000,1,141038,5,18,,
3610504,0,1,1000,10000,1,141043,2,18,,
3610601,0,3,1500,2000,0,141060,7,18,,
3610602,0,3,2500,6000,0,141042,3,18,,
3610603,0,3,1000,8000,1,141038,5,18,,
3610604,0,1,1000,10000,1,141043,2,18,,
3610605,0,3,5000,16000,0,141060,5,18,,
3610606,0,3,1000,18000,1,141043,3,18,,
3610701,0,1,6000,2000,0,141041,2,18,,
3610702,0,5,800,3000,1,141043,5,18,,
3610703,0,3,5000,14000,1,141041,3,18,,
3610704,0,3,1500,15000,0,141043,5,18,,
3610801,0,5,1000,2000,0,141044,5,18,,
3610802,0,3,7000,5000,1,141041,3,18,,
3610803,0,1,1000,11000,0,141041,2,18,,
3610901,0,5,1500,2000,1,141044,10,18,,
3610902,0,10,3000,4500,0,142045,10,18,,
3610903,0,3,2000,7000,0,141041,3,18,,
3610904,0,3,2000,8000,1,141043,7,18,,
3611001,0,5,5000,2000,1,142061,5,18,,
3611002,0,10,900,3000,0,141060,17,18,,
3611003,0,5,2000,9000,0,142061,5,18,,
3611101,0,3,8000,2000,1,141040,3,18,,
3611102,0,6,1000,5500,1,141043,7,18,,
3611201,0,17,800,2000,0,141039,17,18,,
3611202,0,5,5000,8000,0,141041,5,18,,
3611203,0,17,700,13000,1,141039,26,18,,
3611301,0,5,1000,2000,1,141038,5,18,,
3611302,0,13,1000,5500,0,141039,17,18,,
3611303,0,5,3000,20000,0,141042,5,18,,
3611304,0,5,3500,28000,0,141042,5,18,,
3611305,0,5,2000,34000,1,141041,5,18,,
3611401,1,3,1000,2000,0,141040,3,18,,
3611402,0,8,1000,5500,1,141039,12,18,,
3611403,0,6,1000,8000,0,141039,14,18,,
3611404,1,3,3500,17000,1,141040,3,18,,
3611405,0,10,2500,18000,0,141044,10,18,,
3611406,0,6,2000,22000,0,141044,10,18,,
3710101,0,6,1000,2000,0,141039,10,19,,
3710102,0,11,900,10000,0,141060,14,19,,
3710103,0,10,800,20000,0,141060,14,19,,
3710201,0,3,10000,2000,0,141038,5,19,,
3710202,0,13,3000,8000,0,141039,14,19,,
3710203,0,13,1500,22000,0,141039,14,19,,
3710301,0,3,4000,2000,0,141042,7,19,,
3710302,0,3,5000,2000,0,141042,7,19,,
3710401,0,10,600,2000,0,141039,15,19,,
3710402,0,3,3000,12000,0,142061,7,19,,
3710403,0,6,2000,15000,0,141038,14,19,,
3710501,0,3,2000,2000,0,141042,3,19,,
3710502,0,13,1000,2000,0,141039,14,19,,
3710503,0,6,6000,10000,0,141038,9,19,,
3710504,0,6,2500,10000,0,141042,7,19,,
3710505,0,8,4500,23000,0,142045,12,19,,
3710506,0,5,6000,25000,0,141043,7,19,,
3710601,1,3,3000,2000,0,141041,3,19,,
3710602,0,10,1500,5000,0,141038,20,19,,
3710603,0,6,2000,8000,0,141043,14,19,,
3710604,0,3,1000,12000,0,141042,3,19,,
3710701,1,3,1000,2000,0,141041,3,19,,
3710702,0,3,6000,4000,0,141062,3,19,,
3710703,0,3,800,8000,0,141043,7,19,,
3710704,0,3,3000,16000,0,141062,3,19,,
3710705,0,3,2500,18000,0,141041,3,19,,
3710801,1,5,1000,2000,0,141044,10,19,,
3710802,1,5,7000,5000,0,141062,5,19,,
3710803,0,5,3500,11000,0,141062,5,19,,
3710901,0,5,1500,2000,0,141044,10,19,,
3710902,0,10,1500,4500,0,142045,14,19,,
3710903,0,5,2000,7000,0,141041,5,19,,
3710904,0,3,2000,8000,0,141043,7,19,,
3710905,1,8,3500,15000,0,142045,10,19,,
3710906,1,3,2500,18000,0,141044,7,19,,
3710907,0,10,2000,22000,0,141044,10,19,,
3711001,0,10,2000,2000,0,141039,10,19,,
3711002,1,3,1000,3000,0,141041,3,19,,
3711003,0,13,2000,9000,0,141039,20,19,,
3711004,0,5,3000,20000,0,141042,5,19,,
3711005,1,3,3500,24000,0,141062,3,19,,
3711101,0,13,2000,2000,0,141043,20,19,,
3711102,0,15,5000,2000,0,141040,20,19,,
3711103,0,10,3000,9000,0,141043,10,19,,
3711104,0,6,6000,24000,0,141042,7,19,,
3711105,1,3,8000,34000,0,141040,3,19,,
3711201,0,8,1000,2000,0,142045,9,19,,
3711202,0,6,1000,7000,0,142045,9,19,,
3711301,0,10,1000,2000,0,141038,10,19,,
3711302,0,17,700,5500,0,141060,26,19,,
3711303,0,5,3000,6000,0,141043,7,19,,
3711304,0,10,1000,8000,0,141044,14,19,,
3711401,0,5,1000,2000,0,141041,5,19,,
3711402,0,16,600,5500,0,141039,23,19,,
3711403,0,6,900,5500,0,141042,7,19,,
3711501,0,3,1000,2000,0,141041,3,19,,
3711502,0,5,800,12000,0,141062,5,19,,
3711503,0,6,3000,10000,0,141041,7,19,,
3810101,0,6,1000,2000,0,141039,10,19,,
3810102,0,11,900,10000,0,141060,14,19,,
3810103,0,10,800,20000,0,141060,14,19,,
3810201,0,3,10000,2000,0,141038,5,19,,
3810202,0,13,3000,8000,0,141060,14,19,,
3810203,0,13,1500,22000,0,141039,14,19,,
3810301,0,3,4000,2000,0,141042,7,19,,
3810302,0,3,5000,2000,0,141042,7,19,,
3810401,0,10,600,2000,0,141039,15,19,,
3810402,0,3,3000,12000,0,142045,7,19,,
3810403,0,6,2000,15000,0,141038,14,19,,
3810501,0,3,2000,2000,0,141042,3,19,,
3810502,0,13,1000,2000,0,141060,14,19,,
3810503,0,6,6000,10000,0,141038,9,19,,
3810504,0,6,2500,10000,0,141042,7,19,,
3810505,0,8,4500,23000,0,142045,12,19,,
3810506,0,5,6000,25000,0,141043,7,19,,
3810601,1,3,3000,2000,0,141062,3,19,,
3810602,0,10,1500,5000,0,141038,20,19,,
3810603,0,6,2000,8000,0,141043,14,19,,
3810604,0,3,1000,12000,0,141042,3,19,,
3810701,1,3,1000,2000,0,141062,3,19,,
3810702,0,3,6000,4000,0,141040,3,19,,
3810703,0,3,800,8000,0,141043,7,19,,
3810704,0,3,3000,16000,0,141040,3,19,,
3810705,0,3,2500,18000,0,141041,3,19,,
3810801,1,5,1000,2000,0,141044,10,19,,
3810802,1,5,7000,5000,0,141040,5,19,,
3810803,0,5,3500,11000,0,141040,5,19,,
3810901,0,5,1500,2000,0,141044,10,19,,
3810902,0,10,1500,4500,0,142045,14,19,,
3810903,0,5,2000,7000,0,141041,5,19,,
3810904,0,3,2000,8000,0,141043,7,19,,
3810905,1,8,3500,15000,0,142045,10,19,,
3810906,1,3,2500,18000,0,141044,7,19,,
3810907,0,10,2000,22000,0,141044,10,19,,
3811001,0,10,2000,2000,0,141039,10,19,,
3811002,1,3,1000,3000,0,141041,3,19,,
3811003,0,13,2000,9000,0,141039,20,19,,
3811004,0,5,3000,20000,0,141042,5,19,,
3811005,1,17,3500,24000,0,141062,17,19,,
3811101,0,13,2000,2000,0,141043,20,19,,
3811102,0,15,5000,2000,0,141062,20,19,,
3811103,0,10,3000,9000,0,141043,10,19,,
3811104,0,6,6000,24000,0,141042,7,19,,
3811105,1,3,8000,34000,0,141040,3,19,,
3811201,0,8,1000,2000,0,142061,9,19,,
3811202,0,6,1000,7000,0,142061,9,19,,
3811301,0,10,1000,2000,0,141038,10,19,,
3811302,0,17,700,5500,0,141039,26,19,,
3811303,0,5,3000,6000,0,141043,7,19,,
3811304,0,10,1000,8000,0,141044,14,19,,
3811401,0,5,1000,2000,0,141041,5,19,,
3811402,0,14,600,5500,0,141039,22,19,,
3811403,0,6,900,5500,0,141042,7,19,,
3811501,0,3,1000,2000,0,141041,3,19,,
3811502,0,5,800,12000,0,141040,5,19,,
3811503,0,6,3000,10000,0,141041,7,19,,
3910101,0,13,1500,2000,0,141039,14,20,,
3910102,0,13,1500,2000,0,141060,14,20,,
3910201,0,6,1000,2000,0,141060,10,20,,
3910202,0,5,2000,5000,1,141038,5,20,,
3910203,0,10,1000,6000,1,141060,17,20,,
3910204,0,3,1000,9000,0,141038,3,20,,
3910205,0,3,1500,11000,0,141043,3,20,,
3910301,0,3,1000,2000,0,141038,3,20,,
3910302,0,17,800,3000,0,141060,17,20,,
3910303,0,10,800,6000,1,141039,17,20,,
3910304,1,5,2000,11000,0,141042,5,20,,
3910305,0,5,800,15000,1,141038,5,20,,
3910306,0,1,1000,17000,1,141043,3,20,,
3910401,0,15,700,2000,0,141038,26,20,,
3910402,1,6,2000,5000,0,141042,7,20,,
3910403,0,6,1000,9000,1,141038,7,20,,
3910404,0,3,1500,11000,1,141043,3,20,,
3910405,1,3,3000,14000,0,142061,3,20,,
3910406,1,3,2000,16000,1,142061,3,20,,
3910501,0,1,1000,2000,0,141041,2,20,,
3910502,0,6,1000,3000,0,141039,9,20,,
3910503,0,6,2000,5000,1,141044,10,20,,
3910504,0,3,1000,6000,1,141043,3,20,,
3910505,0,1,1000,9000,0,141041,2,20,,
3910506,1,6,1500,11000,0,141042,7,20,,
3910601,1,3,15000,2000,1,141041,3,20,,
3910602,0,14,800,4500,1,141038,22,20,,
3910603,0,13,2000,10000,1,141042,20,20,,
3910701,0,10,1500,2000,1,141044,10,20,,
3910702,0,13,500,4500,1,141039,25,20,,
3910703,0,8,2000,7000,0,141038,10,20,,
3910704,0,5,2000,8000,0,141043,9,20,,
3910705,1,6,3000,15000,1,142045,10,20,,
3910706,1,5,2500,18000,0,141062,5,20,,
3910707,0,13,2000,22000,0,141042,17,20,,
3910801,0,14,700,2000,1,141038,21,20,,
3910802,1,10,1000,3000,1,141041,10,20,,
3910803,0,10,1500,9000,1,141038,20,20,,
3910804,0,10,1000,20000,0,141041,10,20,,
3910805,0,10,3500,24000,0,141038,23,20,,
3910806,0,8,2000,34000,0,141062,9,20,,
3910807,0,8,3000,40000,1,141062,9,20,,
3910808,0,15,1000,50000,1,141041,21,20,,
3910901,0,10,6000,2000,1,141040,10,20,,
3910902,0,25,800,5000,0,141043,26,20,,
3910903,0,10,5000,8000,1,141040,10,20,,
3910904,0,25,800,9000,0,141044,26,20,,
3911001,1,5,1000,2000,1,141044,10,20,,
3911002,0,3,7000,5000,0,141040,3,20,,
3911003,0,13,3500,11000,1,141041,14,20,,
3911101,0,5,1500,2000,1,141044,10,20,,
3911102,0,3,3000,4500,1,142045,3,20,,
3911103,0,5,2000,7000,0,141041,10,20,,
3911104,0,3,2000,8000,0,141043,7,20,,
3911105,1,5,3500,15000,1,142061,5,20,,
3911106,1,3,2500,18000,0,141044,7,20,,
3911107,0,10,2000,22000,0,141044,10,20,,
3911201,0,3,2000,2000,1,141062,3,20,,
3911202,1,3,2000,5000,1,141062,3,20,,
3911203,0,10,2000,9000,1,141039,20,20,,
3911204,0,5,3000,20000,0,141042,10,20,,
3911205,0,8,3500,24000,0,141041,17,20,,
3911206,0,13,2000,34000,1,141043,20,20,,
3911207,0,13,5000,40000,1,141040,14,20,,
3911208,0,13,2000,80000,0,141041,14,20,,
3911301,0,8,700,2000,0,141038,9,20,,
3911302,0,6,1000,5500,0,141060,7,20,,
3911303,0,13,5000,6000,0,141043,14,20,,
3911304,0,3,600,13000,0,141044,7,20,,
3911305,0,10,2000,18000,0,142045,10,20,,
3911306,0,11,2000,25000,0,141038,20,20,,
3911401,0,13,1000,2000,1,141041,14,20,,
3911402,0,5,1000,5500,1,142045,10,20,,
3911403,0,13,1000,15000,1,142045,14,20,,
3911501,0,10,5000,2000,0,141040,10,20,,
3911502,0,10,4000,3500,1,141040,10,20,,
3911601,1,2,40000,2000,0,142046,3,20,,
3911602,0,17,3000,5500,1,141038,26,20,,
3911603,0,17,3000,7000,0,141038,26,20,,
3911604,0,5,6000,20000,1,141041,10,20,,
3911605,0,10,2000,22000,0,142045,10,20,,
3911606,0,10,2000,25000,0,141044,10,20,,
3911607,0,18,2000,26000,1,141044,26,20,,
3911608,0,17,3000,40000,1,141062,17,20,,
3911609,0,17,3000,40000,0,141062,17,20,,
3911610,0,10,2000,60000,1,142045,17,20,,
3911611,0,17,900,68000,1,141062,17,20,,
3911612,0,17,900,70000,0,141041,17,20,,
4010101,0,13,1500,2000,0,141060,14,20,,
4010102,0,13,1500,2000,0,141060,14,20,,
4010201,0,6,1000,2000,0,141060,10,20,,
4010202,0,5,2000,5000,1,141038,5,20,,
4010203,0,10,1000,6000,1,141039,17,20,,
4010204,0,3,1000,9000,0,141038,3,20,,
4010205,0,3,1500,11000,0,142061,3,20,,
4010301,0,3,1000,2000,0,141038,3,20,,
4010302,0,6,800,3000,0,141060,17,20,,
4010303,0,10,800,6000,1,141060,17,20,,
4010304,1,5,2000,11000,0,141042,5,20,,
4010305,0,5,800,15000,1,141038,5,20,,
4010306,0,1,1000,17000,1,141043,3,20,,
4010401,0,18,700,2000,0,141038,26,20,,
4010402,1,6,2000,5000,0,141042,7,20,,
4010403,0,6,1000,9000,1,141038,7,20,,
4010404,0,3,1500,11000,1,141043,3,20,,
4010405,1,3,3000,14000,0,142061,3,20,,
4010406,1,3,2000,16000,1,142061,3,20,,
4010501,0,1,1000,2000,0,141041,2,20,,
4010502,0,6,1000,3000,0,141039,9,20,,
4010503,0,6,2000,5000,1,141044,10,20,,
4010504,0,3,1000,6000,1,141043,3,20,,
4010505,0,1,1000,9000,0,141041,2,20,,
4010506,1,6,1500,11000,0,141042,7,20,,
4010601,1,3,15000,2000,1,141041,3,20,,
4010602,0,14,800,4500,1,141038,25,20,,
4010603,0,13,2000,10000,1,141042,20,20,,
4010701,0,3,1500,2000,1,141044,10,20,,
4010702,0,14,500,4500,1,141039,23,20,,
4010703,0,8,2000,7000,0,141038,10,20,,
4010704,0,5,2000,8000,0,141043,9,20,,
4010705,1,6,3000,15000,1,142045,10,20,,
4010706,1,5,2500,18000,0,141040,5,20,,
4010707,0,13,2000,22000,0,141042,17,20,,
4010801,0,7,700,2000,1,141038,21,20,,
4010802,1,8,1000,3000,1,141041,10,20,,
4010803,0,12,1500,9000,1,141038,20,20,,
4010804,0,7,1000,20000,0,141041,10,20,,
4010805,0,11,3500,24000,0,141038,20,20,,
4010806,0,8,2000,34000,0,141062,9,20,,
4010807,0,8,3000,40000,1,141062,9,20,,
4010808,0,34,1000,50000,1,141041,34,20,,
4010901,0,10,6000,2000,1,141062,10,20,,
4010902,0,25,800,5000,0,141043,26,20,,
4010903,0,10,5000,8000,1,141062,10,20,,
4010904,0,25,800,9000,0,141044,26,20,,
4011001,1,5,1000,2000,1,141044,10,20,,
4011002,0,3,7000,5000,0,141040,3,20,,
4011003,0,13,3500,11000,1,141041,14,20,,
4011101,0,5,1500,2000,1,141044,10,20,,
4011102,0,3,3000,4500,1,142045,3,20,,
4011103,0,5,2000,7000,0,141041,10,20,,
4011104,0,3,2000,8000,0,141043,7,20,,
4011105,1,5,3500,15000,1,142045,5,20,,
4011106,1,3,2500,18000,0,141044,7,20,,
4011107,0,10,2000,22000,0,141044,10,20,,
4011401,0,8,2000,2000,1,141062,17,20,,
4011202,1,8,2000,5000,1,141062,17,20,,
4011203,0,10,2000,9000,1,141039,20,20,,
4011204,0,5,3000,20000,0,141042,10,20,,
4011205,0,8,3500,24000,0,141041,17,20,,
4011206,0,13,2000,34000,1,141043,20,20,,
4011207,0,13,5000,40000,1,141062,14,20,,
4011208,0,13,2000,80000,0,141041,14,20,,
4011301,0,8,700,2000,0,141038,9,20,,
4011302,0,6,1000,5500,0,141039,7,20,,
4011303,0,13,5000,6000,0,141043,14,20,,
4011304,0,3,600,13000,0,141044,7,20,,
4011305,0,10,2000,18000,0,142045,10,20,,
4011306,0,11,2000,25000,0,141038,20,20,,
4011401,0,13,1000,2000,1,141041,14,20,,
4011402,0,5,1000,5500,1,142045,10,20,,
4011403,0,13,1000,15000,1,142045,14,20,,
4011501,0,10,5000,2000,0,141040,10,20,,
4011502,0,10,4000,3500,1,141040,10,20,,
4011601,1,1,40000,2000,0,142046,1,20,,
4011602,0,17,3000,5500,1,141038,26,20,,
4011603,0,17,3000,7000,0,141038,26,20,,
4011604,0,5,6000,20000,1,141041,10,20,,
4011605,0,10,2000,22000,0,142045,10,20,,
4011606,0,10,2000,25000,0,141044,10,20,,
4011607,0,25,2000,26000,1,141044,26,20,,
4011608,0,17,3000,40000,1,141062,17,20,,
4011609,0,17,3000,40000,0,141062,17,20,,
4011610,0,10,2000,60000,1,142045,17,20,,
4011611,0,17,900,68000,1,141062,17,20,,
4011612,0,17,900,70000,0,141041,17,20,,
10110101,0,1,1000,2000,0,141010,1,101,,
10110102,0,6,800,4000,0,141005,6,101,,
10110103,1,8,1200,7500,0,141005,8,101,,
10110104,0,5,1500,12000,0,141049,10,101,,
10110105,1,10,2000,18000,0,141008,20,101,,
10110106,0,10,3000,25000,0,141008,20,101,,
10110201,0,1,1000,2000,0,141010,1,101,,
10110202,0,2,1000,5000,0,142004,4,101,,
10110203,0,4,1500,8000,0,142004,6,101,,
10110204,0,6,1500,13000,0,142004,8,101,,
10110205,0,8,2000,20000,0,142004,10,101,,
10110206,0,10,2500,29000,0,142004,12,101,,
10210101,0,4,1500,2000,0,141016,8,102,,
10210201,0,2,4000,2000,1,141013,4,102,,
10210202,0,2,2000,6000,2,141016,4,102,,
10210301,0,8,2000,2000,3,141014,10,102,,
10210302,0,3,1500,5000,0,141015,6,102,,
10210303,1,6,2000,9500,1,142018,12,102,,
10210401,0,4,1500,2000,2,141015,8,102,,
10210402,0,4,4000,4500,3,141013,8,102,,
10210403,0,10,1000,9500,0,141051,20,102,,
10210404,0,10,1500,16000,1,141014,20,102,,
10210501,0,4,2000,2000,2,141016,8,102,,
10210502,1,5,2500,4500,3,142018,10,102,,
10210503,0,8,2000,9500,0,141017,16,102,,
10210504,1,5,2500,14500,1,142018,10,102,,
10210505,0,2,3000,20000,2,141019,2,102,,
10210506,0,5,6000,26000,3,141013,10,102,,
10210507,0,10,2000,34000,1,141052,20,102,,
