object_list,,,,,,,,,,,,,
语言包key,按表进行分类,中文简体,中文简体,英文,英文,英文,英文,,,,,,
311513,NPCTalk,,B：哎，我说你们两个有眉头在听我说话，我说藏宝图！,,Men… never listen. I have a treasure map!,,,,,,,,
311514,NPCTalk,,A：好了露娜该回营地了。,,We know! First we need to get back to camp.,,,,,,,,
311601,NPCTalk,,B：陛下，一个好消息和一个坏消息。,,"My King, I've got good news and bad news, which first?",,,,,,,,
311602,NPCTalk,,A：别闹，杰诺，好消息。,,Good news.,,,,,,,,
311603,NPCTalk,,B：我们发现了格雷斯！！他好像是被那场大爆炸炸到沙漠上了。,,We've found Durin! It seems the explosion sent him careening into the desert.,,,,,,,,
311604,NPCTalk,,格雷斯边吐血边说道。,,Durin holds his bruised right side.,,,,,,,,
311605,NPCTalk,,C：你可以不相信地精弹射装置，咳咳！但你一定要相信格雷斯弹射装置……,,"Have ya changed your mind about me explosives, King?",,,,,,,,
311606,NPCTalk,,A：你还活着真是太好了，坏消息呢杰诺？,,"I'm glad to see you alive, Durin! Lance, what is the bad news?",,,,,,,,
311607,NPCTalk,,B：露娜小姐留了张字条离开了，她说她要去附近的金字塔寻宝……,,"Korina is gone, she left a note saying she went to search the pyramid for treasure…",,,,,,,,
311608,NPCTalk,,A：这个笨丫头，组织人手到附近搜索露娜小姐，格雷斯，这里有一封信，请帮我送回城邦之心，我需要大祭司的进一步指点。,,"What's so great about shiny things? Alright, gather the troops and let's find Miss Chantress.",,,,,,,,
311609,NPCTalk,,C：好的长官，你是老板！话说格雷斯弹射装置采用了最先进的SZ123弹射燃料……,,Let's go! Me still have some explosives me haven't tested!,,,,,,,,
311610,NPCTalk,,A：我们也出发杰诺，我们不能再失去任何伙伴了。,,"Lance Alotte, lead the way.",,,,,,,,
311611,NPCTalk,,B：陛下我会一直守护您，守护拉诺菲家族的！,,"Keep on the look out, this is unknown terrain.",,,,,,,,
311612,NPCTalk,,A：这个家伙怎么杀不死，可恶！,,Why doesn't it die!?,,,,,,,,
311613,NPCTalk,,D：吼！！！！哈哈，有人要杀掉不朽巨龙吗？我没有听错吧？臣服吧，凡人！,,What makes you think I can die? Bow down to me!,,,,,,,,
311614,NPCTalk,,拉诺菲昏了过去，露娜急的哭了起来。,,King Jain faints in the heat.,,,,,,,,
311615,NPCTalk,,C：都怪我，拉诺菲，我不应该去找什么宝藏的，遇到了不应该遇到的东西。,,I know this is my fault… but hanging your head is never the answer!,,,,,,,,
311616,NPCTalk,,B：露娜小姐，请带国王离开这里，我来挡住这畜生！,,"Korina, get the King out of here. I will hold him off.",,,,,,,,
311617,NPCTalk,,C：但是杰诺先生……,,"Lance, I can't jus…",,,,,,,,
311618,NPCTalk,,B：快走，城邦不能没有国王！我会到沼泽和你们会合的快走！,,Go! The kingdom needs the King alive! I will meet you at the Marshlands!,,,,,,,,
311619,NPCTalk,,露娜带着拉诺菲先离开了，杰诺赌上了骑士的荣誉为了国王与再次复活的巨龙决一死战……,,"Korina rides off with the King, while the remaining heroes battle in a fight for their lives.",,,,,,,,
311701,NPCTalk,,A：可怜的拉诺菲还没有醒过来。,,The King has not yet regained conciousness.,,,,,,,,
311702,NPCTalk,,B：警戒，有人过来了！,,"On your guard, there are people approaching.",,,,,,,,
311703,NPCTalk,,A：……,,"Those are not friendlies, battle formations!",,,,,,,,
311704,NPCTalk,,B：我们必须守护好国王，爱哭的小姐！,,"Protect the King at all costs, Korina!",,,,,,,,
311705,NPCTalk,,A：我不是什么爱哭的小姐，看我的厉害！,,"Let them come, they will fall.",,,,,,,,
311706,NPCTalk,,B：这些蜥蜴人不好对付，法师小姐请您小心了！,,"Be careful, these Reptili are resistant to most magic!",,,,,,,,
311707,NPCTalk,,B：陛下，您醒了？,,"King, are you awake?",,,,,,,,
311708,NPCTalk,,A：我没听错吧，你叫我什么？,,Wha…who…ruurghh. ,,,,,,,,
311709,NPCTalk,,C：咱们的法师小姐为了国王你可是拼劲了全力呢，多亏了她的魔法。,,"Glad to see you kicking, my King!",,,,,,,,
311710,NPCTalk,,露娜的脸泛起一阵阵红晕。,,The King fully awakens.,,,,,,,,
311711,NPCTalk,,C：陛下，你的情况不容乐观，我们要继续寻找沼泽之王。,,"King Jain, you should thank Korina for her valiant battle vigor, she has saved your life.",,,,,,,,
311712,NPCTalk,,A：嗯，好的，那个，露娜谢谢你。,,"You are in my utmost debt, Miss Chantress.",,,,,,,,
311713,NPCTalk,,B：也没什么啦，瞧你说的！,,"Korina glows red and mutters something like a ""no problem"".",,,,,,,,
311801,NPCTalk,,D：陛下，我们探路的士兵陷入沼泽里了，沼泽中出现了大量叫做史莱姆的怪物！,,"King, there are scouts being surrounded by a pod of oozing Slime.",,,,,,,,
311802,NPCTalk,,A：我们走，这是一次救援行动。,,Then it's time… for a rescue mission.,,,,,,,,
311803,NPCTalk,,C：陛下，您现在的身体……,,You can't go to battle in your state!,,,,,,,,
311804,NPCTalk,,B：拉诺菲你不要总是让我担心！,,You are in no shape to do such a thing.,,,,,,,,
311805,NPCTalk,,A：没关系的，走吧,,"It's my decision. We're going, now.",,,,,,,,
311806,NPCTalk,,诅咒已经让拉诺菲变成了一名古稀老人，年轻的国王拉诺菲，你的时间不多了！,,"King Jain has aged into his later years, he doesn't have too much time left.",,,,,,,,
311807,NPCTalk,,拉诺菲为了被困的士兵，用尽最后的力气使用魔法消灭了怪物。,,King Jain uses the last of his magic to keep a fellow soldier from being killed.,,,,,,,,
311808,NPCTalk,,B：拉诺菲！,,King Jain!,,,,,,,,
311809,NPCTalk,,C：陛下！,,No!,,,,,,,,
311810,NPCTalk,,D：国王！,,My King!,,,,,,,,
311811,NPCTalk,,A：……我不要紧，大家没事就好了，我不能再失去你们了，继续前进吧，还有使命等着大家去完成呢！,,…Do not worry my friends. I am still with strength but I cannot go on with you. You must continue without me!,,,,,,,,
311812,NPCTalk,,此时的拉诺菲命悬一线，他已经没有更多的体力了，,,King Jain sits and rests in an alcove with a squadron of his personal guards.,,,,,,,,
311901,NPCTalk,,部队前行到一棵古树前，古树上爬满了蛆虫，看样子被折磨坏了。已经变成老人的拉诺菲下令帮助古树除虫。,,In front of the party stands an ancient tree covered in maggots. It needs saving.,,,,,,,,
311902,NPCTalk,,A：至少我还可以帮帮您，睿智的古树。,,"Friends, I am Cyra Naturalis. I need your aid in saving this ancient tree.",,,,,,,,
311903,NPCTalk,,B：让我来吧，用我的魔法，这些蛆虫是有人施法放在这的。,,I'm always ready to help. Let's try some lightning magic…,,,,,,,,
311904,NPCTalk,,蛆虫被驱逐之后，古树的树根处闪出了绿色的光芒，一只树妖出现了。,,The lightning courses through the maggots and they start to rain down from the tree.,,,,,,,,
311905,NPCTalk,,C：是你们帮忙驱除了蛆虫吗？,,Wonderful work!,,,,,,,,
311906,NPCTalk,,B：是拉诺菲国王的命令。,,"Anytime, may I ask who you are?",,,,,,,,
311907,NPCTalk,,树妖看了看拉诺菲，皱起了眉头，双手泛起绿光开始施法。,,"I am the Protector of the Ancient Forests but the corruption has been too wide spread, I could not save it all.",,,,,,,,
311908,NPCTalk,,C：陛下，谢谢您救了古树，我是古树的女儿，恕我直言您的寿命只剩下不到两天了，虽然我不能帮您解除诅咒，但是我可以延长您的寿命。,,"We have also dealt with corruption back West, we are trying to destroy the source.",,,,,,,,
311909,NPCTalk,,说罢，绿光飘进拉诺菲的身体，一股力量涌现上来。,,"In that case, I pledge my services to you and your kin to eliminate the threat!",,,,,,,,
311910,NPCTalk,,A：我感觉好多了，女士，我怎么称呼您？,,"Wonderful, we need all the help we can get!",,,,,,,,
311911,NPCTalk,,C：就叫我珊吧，请允许我加入您的部队，我要净化这肮脏的沼泽，挽救还活着的数目！,,A scout is sent back to King Jain to bring him the positive tidings.,,,,,,,,
311912,NPCTalk,,A：当然，女士。,,There is hope yet…,,,,,,,,
311913,NPCTalk,,C：就快到达沼泽之王的巢穴了，陛下！,,The King has been moved along with the army keeping to the rear.,,,,,,,,
311914,NPCTalk,,A：好，没问题我坚持的住！,,We're almost at the resting place of the Marsh King.,,,,,,,,
311915,NPCTalk,,B：拉诺菲，有好消息！,,"Sorry to interrupt, my King, I have good news! ",,,,,,,,
311916,NPCTalk,,A：什么？,,"Speak, Robin!",,,,,,,,
311917,NPCTalk,,B：那个小地精从城邦之心赶回来了，并且他在路上把昏迷的杰诺也救回来了！,,"Durin has returned and found Lance Alotte along the road dazed and dehydrated but other than that, in perfect health!",,,,,,,,
311918,NPCTalk,,A：太棒了！这次杰诺这个老家伙应该不会在怀疑这个炸弹小子了，哈哈!,,Great news! Looks like those two's fates are quite intertwined! Haha!,,,,,,,,
312001,NPCTalk,,魔塔部队集结在一起，为了解除国王的诅咒正整装待发，挑战神一般的沼泽之王，山坡上，背着大剑的武士正在观察这支部队。,,The party gathers to discuss tactics on how to defeat the Marsh King.,,,,,,,,
312002,NPCTalk,,B：为了拉诺菲，打败沼泽之王！,,"For the king, kill the Marsh King!",,,,,,,,
312003,NPCTalk,,D：为了城邦，为了拉诺菲家族！,,For the kingdom!,,,,,,,,
312004,NPCTalk,,C：据说沼泽之王的皮坚硬无比，普通的武器根本无法穿透。,,We need to imbue our weapons with magic to defeat this creature.,,,,,,,,
312005,NPCTalk,,E：我这里有猎龙用的材料，不知道能不能帮上忙？,,Regular weapons will have no effect on it.,,,,,,,,
312006,NPCTalk,,F：什么什么什么？快给我看看！WOW！我想我可以……嗯，就这么办，一架弩炮！嗯，就起名叫格雷斯超级豪华无敌弩炮……,,"Don't worry, me bombs will still be effective!",,,,,,,,
312007,NPCTalk,,A：感谢大家这么久一直在我身边为了城邦努力着，你们是城邦的英雄！真正的魔塔奇兵！,,I think you all for your faith and service. Godspeed and may the elements be in your favor.,,,,,,,,
312008,NPCTalk,,远处山上的某神秘人。,,A mysterious figure watches the party from a nearby mountain top.,,,,,,,,
312009,NPCTalk,,G：这些人蛮有趣的，哈哈！,,Interesting…,,,,,,,,
312010,NPCTalk,,沼泽之王被打败了，拉诺菲的诅咒终于被解除了，往日的英俊国王又回到了大家的面前。,,The Marsh King is defeated and the mages use its powers to rid King Jain of his curse. The young King reappears.,,,,,,,,
312011,NPCTalk,,A：格雷斯的弩炮果然有效，这个怪物生命力真是顽强！,,Good to be young again.,,,,,,,,
312012,NPCTalk,,B：拉诺菲你回来了！,,"King Jain, you are recovered!",,,,,,,,
312013,NPCTalk,,露娜冲上去给了拉诺菲一个拥抱。,,Korina runs over and hugs King Jain.,,,,,,,,
312014,NPCTalk,,C：陛下，您没事真实太好了！,,Glad to see you back to normal.,,,,,,,,
312015,NPCTalk,,A：杰诺，记得那个骑狼的家伙口中的大酋长吗？,,"Thank you everyone! …but I've been thinking, I believe that the Wolfrider chieftain may play a larger part in this than we first imagined.",,,,,,,,
312016,NPCTalk,,C：记得陛下。,,What do you mean?,,,,,,,,
312017,NPCTalk,,A：我想，这一切的根源都和他有关，我们先返回城邦，我决定进行一次远征，领教一下兽人的酋长。,,Let's return to Azylon first before we discuss details. We have been away too long. ,,,,,,,,
312018,NPCTalk,,C：听从您的吩咐，拉诺菲陛下！,,This is true… homeward bound!,,,,,,,,
312101,NPCTalk,,B：陛下，根据哨兵的报告，前面就是兽人在我们领土建立的秘密物资基地了。,,"My King, ahead is the hidden encampment of orcs that our scouts stumbled upon.",,,,,,,,
312102,NPCTalk,,A：嗯，传令下去，在敌人后方设置防御，先遣小分队得手后把敌人引到防御范围内。,,"Set up our defenses here. Once set, send a small party to lead them this way.",,,,,,,,
312103,NPCTalk,,B：这真是个绝妙的方案。,,"Intelligent move, my King.",,,,,,,,
312104,NPCTalk,,B：这次的得到的物资可以强化我们的魔塔部队。,,The recovered goods from this operation can help us upgrade our mage towers.,,,,,,,,
312105,NPCTalk,,A：好！这样我们的部队就更强了，继续前进吧！,,"Perfect, let's get the research going!",,,,,,,,
312201,NPCTalk,,B：我们的斥候发现了距离我们营地50里的土著居民部队，请下达防御命令。,,Our scouts have found a hidden encampment 5 miles from here. What are your orders?,,,,,,,,
312202,NPCTalk,,A：嗯，似乎我们需要更多的炮塔来进行火力支援，汉斯注意我的信号，你的民兵部队将会是这场战斗的主角。,,We will take the camp by force. We well need all the firepower we can. Hans your militia will be the leading force this battle.,,,,,,,,
312203,NPCTalk,,B：真是一场精彩的战斗！,,That battle went well for us!,,,,,,,,
312204,NPCTalk,,A：多亏了汉斯你灵活的民兵部队。,,all thanks to your grade A militia training!,,,,,,,,
312205,NPCTalk,,B：呵呵，陛下过奖了，让我们看看这群土著留下了些什么？,,"No need to flatter, my King, just doing my job!",,,,,,,,
312301,NPCTalk,,A：是这里吗，格雷斯？,,Is it this way?,,,,,,,,
312302,NPCTalk,,B：是的老板，寻找一下这里是否有幸存者吧，也许我的弟弟还活着。这些该死的恶魔， 我绝对绕不了他们！,,"Yes, King! We need to check for survivors, maybe me brother made it out alive",,,,,,,,
312303,NPCTalk,,A：他们一定还活着，不要担心，开始搜索吧！,,We will execute a full search once we eliminate the residing demons.,,,,,,,,
312304,NPCTalk,,B：他们似乎不在这里……,,They not here!,,,,,,,,
312305,NPCTalk,,A：这里的恶魔这么多，他们一定在别的地方，放心吧格雷斯,,"The demons were numerous here, they must have moved on to somewhere else.",,,,,,,,
312306,NPCTalk,,B：嗯，一定会的陛下。,,"Yes, yes, that must be it.",,,,,,,,
312401,NPCTalk,,B：找到了！耶！地图上标记的位置应该就是这里了！拉诺菲一起来寻宝吧！,,This is it! The X on the treasure map! It's here!,,,,,,,,
312402,NPCTalk,,A：那就走吧，希望有宝物在这里。,,I do hope there is some kind of treasure and this is not for naught…,,,,,,,,
312403,NPCTalk,,B：不会错的，快跟上，拉诺菲！,,Of course there is! Let's get going King Jain!,,,,,,,,
312404,NPCTalk,,B：哈哈哈，发财了！可以买好多的化妆品啊！,,Woohoo! I told you there was treasure!,,,,,,,,
312405,NPCTalk,,A：露娜，这个是我们的军需物资吧。,,"Haha, alright Korina, calm down. Let's get these goods all packed up.",,,,,,,,
312406,NPCTalk,,B：小气鬼，用一点有什么关系！,,No need to tell me twice! Let's get packin'!,,,,,,,,
312501,NPCTalk,,B：陛下，请动作快一点！,,"King! Over here, quickly!",,,,,,,,
312502,NPCTalk,,A：好的，来了！你确定有人跟踪我们吗？,,I'm here! Are you sure we're being followed?,,,,,,,,
312503,NPCTalk,,B：不要怀疑我的侦察术，陛下，就是这里了，这里是伏击敌人的最佳地点。,,"King, are you doubting my skills? They will be here in no less than 30 minutes.",,,,,,,,
312504,NPCTalk,,A：好的，我们开始布置防御吧。,,Let's get our defense set up quickly then.,,,,,,,,
312505,NPCTalk,,B：不知道这些蜥蜴人为什么要跟踪我们，来者不善，陛下要小心了！,,"I don't know why they have trailed us this far, be careful.",,,,,,,,
312506,NPCTalk,,A：你连跟踪我们的是什么人都猜的到？,,I apologize for doubting you Robin.,,,,,,,,
312507,NPCTalk,,B：拜托，我是鹰眼啊陛下！,,"No worries, my King.",,,,,,,,
312508,NPCTalk,,A：有你们在真是太好了！,,I may need you for more tracking duties in the future.,,,,,,,,
312509,NPCTalk,,B：陛下，有人在跟踪你？,,My King! There's someone following you!,,,,,,,,
312510,NPCTalk,,A：什么？谁？在哪？,,What? Who? Where? ,,,,,,,,
312511,NPCTalk,,B：是露娜小姐。,,Miss Chantress is standing behind you.,,,,,,,,
312512,NPCTalk,,A：……,,King Jain folds his arms and shakes his head as Robin enjoys his little joke.,,,,,,,,
312513,NPCTalk,,,,"My King, it is nice to see a young face. I was in the last King's kingsguard and wish to enlist in yours, to fight against this terrible evil.",,,,,,,,
131115,item,秀逗魔导士卡牌,"可以增加秀逗魔导士1点好感度,达到10点好感度时可召唤该英雄。",Korina Chantress Card,Increases Influence with Korina Chantress by 1. Reach 10 Influence to recruit this hero.,,,,,,,,
131116,item,炸弹人卡牌,可以增加炸弹人1点好感度，达到10点好感度时可召唤该英雄。,Durin Atomika Card,Increases Influence with Durin Atomika by 1. Reach 10 Influence to recruit this hero.,,,,,,,,
131117,item,影子武士卡牌,可以增加影子武士1点好感度，达到10点好感度时可召唤该英雄。,Link Shadowstep Card,Increases Influence with Link Shadowstep by 1. Reach 10 Influence to recruit this hero.,,,,,,,,
131123,item,鹰眼卡牌,可以增加鹰眼1点好感度，达到10点好感度时可召唤该英雄。,Robin Eagleye,Increases Influence with Robin Eagleye by 1. Reach 10 Influence to recruit this hero.,,,,,,,,
33001,features,普通速度,,Normal Speed,,,,,,,,,
33002,features,慢速,,Slow,,,,,,,,,
33003,features,快速,,Fast,,,,,,,,,
33004,features,远程,,Long Range,,,,,,,,,
33005,features,非常慢,,Very Slow,,,,,,,,,
33006,features,中等魔抗,,Magic Resist,,,,,,,,,
33007,features,高血量,,Extra Health,,,,,,,,,
33008,features,喂食,,Hungry,,,,,,,,,
33009,features,鼓舞队友,,Speed Aura,,,,,,,,,
33010,features,区域攻击,,Area Attack,,,,,,,,,
33011,features,免疫减速,,Slow Immune,,,,,,,,,
33012,features,自愈,,Regen,,,,,,,,,
33013,features,滚雪球,,Snowballer,,,,,,,,,
33014,features,飞行,,Flier,,,,,,,,,
33015,features,极寒风暴,,Winter Storm,,,,,,,,,
33016,features,轻型护甲,,Light Armor,,,,,,,,,
33017,features,魅惑,,Compel,,,,,,,,,
33018,features,狂暴冲锋,,Berserker,,,,,,,,,
33019,features,燃烧路径,,Burning Path,,,,,,,,,
33020,features,地狱诅咒,,Infernal Curse,,,,,,,,,
33021,features,一般血量,,Normal Health,,,,,,,,,
33022,features,恶魔尖刺,,Thorns,,,,,,,,,
33023,features,中等护甲,,Medium Armor,,,,,,,,,
33024,features,吸血,,Vampirism,,,,,,,,,
33025,features,厚重绷带,,Bandaged,,,,,,,,,
33026,features,神圣护甲,,Divine Armor,,,,,,,,,
33027,features,黑暗之风,,Dark Wind,,,,,,,,,
33028,features,毒性攻击,,Poison,,,,,,,,,
33029,features,冷血杀手,,Coldblood,,,,,,,,,
33030,features,腐蚀之种,,Corrosive Seed,,,,,,,,,
33031,features,石肤术,,Stoneskin,,,,,,,,,
33032,features,疯狂撕咬,,Rabid Bite,,,,,,,,,
33033,features,血量少,,Half-life,,,,,,,,,
33034,features,闪避,,Dodge,,,,,,,,,
33034,features,闪避,,Dodge,,,,,,,,,
33035,features,透甲利斧,,Cutting Blade,,,,,,,,,
33036,features,坚持作战,,Battle On,,,,,,,,,
33037,features,非常快,,Very Fast,,,,,,,,,
33038,features,巨兽之怒,,Giant Fury,,,,,,,,,
33039,features,撒网,,Hunter-trapper,,,,,,,,,
33040,features,医疗队友,,Healer,,,,,,,,,
33041,features,血量高,,Extra Health,,,,,,,,,
33042,features,冰雪肌肤,,Iceskin,,,,,,,,,
33043,features,寒冰灵魂,,Cold Spirit,,,,,,,,,
33044,features,元素分裂,,Ice Fission,,,,,,,,,
33045,features,献祭,,Sacrificer,,,,,,,,,
33046,features,浓烟,,Smoker,,,,,,,,,
33047,features,火焰雨,,Fiery Rain,,,,,,,,,
33048,features,召唤骷髅,,Skeleton Caller,,,,,,,,,
33049,features,坚硬外壳,,Carapace,,,,,,,,,
33050,features,烟雾弹,,Ghost,,,,,,,,,
33051,features,不朽,,Immortal,,,,,,,,,
33052,features,远程区域攻击,,Sharepshooter,,,,,,,,,
33053,features,低魔抗,,Weak Magic Resist,,,,,,,,,
33054,features,剧毒粉尘,,Poison Dust,,,,,,,,,
33055,features,聚灵奇术,,Absorb,,,,,,,,,
33056,features,狼嚎,,Wolf Howl,,,,,,,,,
33057,features,寒冰盾,,Ice Shield,,,,,,,,,
33058,features,恶魔召唤,,Demon Caller,,,,,,,,,
33059,features,衰老撕咬,,Infectious Bite,,,,,,,,,
33060,features,射手直觉,,Agile,,,,,,,,,
33061,features,再生,,Regenerator,,,,,,,,,
33062,features,高护甲,,Heavy Armor,,,,,,,,,
33063,features,高魔抗,,Heavy Magic Resist,,,,,,,,,
33064,features,召唤骷髅王,,Skeleton King Caller,,,,,,,,,
132001,item,白银宝箱,白银制成的宝箱，打开后可以获得一些贵重的物资。,Silver Chest,Silver grade chest that contains precious goods.,,,,,,,,
132002,item,青铜宝箱,青铜制成的宝箱，打开后可以获得一些普通的物资。,Bronze Chest,Bronze grade chest that contains goods.,,,,,,,,
132003,item,黄金宝箱,黄金制成的宝箱，打开后可以获得一些珍稀的物资。,Gold Chest,Gold grade chest that contains rare goods.,,,,,,,,
132004,item,无极宝箱,,Blitz Chest,Blitz Chest,,,,,,,,
132005,item,王者宝箱,,King's Chest,Grants a random Hero Skill Tome or Upgrade Tome,,,,,,,,
136001,item,生命强化秘籍,英雄能力提升的必需书籍，可以学习生命强化技能。,Life Amp Tome,Hero skill tome used to learn Life Amp.,,,,,,,,
136002,item,护甲强化秘籍,英雄能力提升的必需书籍，可以学习护甲强化技能。,Armor Amp Tome,Hero skill tome used to learn Armor Amp.,,,,,,,,
136003,item,力量强化秘籍,英雄能力提升的必需书籍，可以学习力量强化技能。,Strength Amp Tome,Hero skill tome used to learn Strength Amp.,,,,,,,,
136004,item,射程强化秘籍,英雄能力提升的必需书籍，可以学习射程强化技能。,Range Amp Tome,Hero skill tome used to learn Range Amp.,,,,,,,,
136005,item,速度强化秘籍,英雄能力提升的必需书籍，可以学习速度强化技能。,Speed Amp Tome,Hero skill tome used to learn Speed Amp.,,,,,,,,
136006,item,工匠秘籍,英雄能力提升的必需书籍，可以学习工匠技能。,Artisan Tome,Hero skill tome used to learn Artisan.,,,,,,,,
136007,item,指挥秘籍,英雄能力提升的必需书籍，可以学习指挥技能。,Sergeant Tome,Hero skill tome used to learn Sergeant.,,,,,,,,
136014,item,灵巧秘籍,英雄能力提升的必需书籍，可以学习灵巧技能。,Crafty Tome,Hero skill tome used to learn Crafty.,,,,,,,,
136015,item,迅捷秘籍,英雄能力提升的必需书籍，可以学习迅捷技能。,Speedy Tome,Hero skill tome used to learn Speedy.,,,,,,,,
136016,item,疗伤秘籍,英雄能力提升的必需书籍，可以学习疗伤技能。,Phoenix Tome,Hero skill tome used to learn Phoenix.,,,,,,,,
136018,item,吸血鬼之触秘籍,英雄能力提升的必需书籍，可以学习吸血鬼之触技能。,Vampirisim Tome,Hero skill tome used to learn Vampirisim.,,,,,,,,
136019,item,切断神经秘籍,英雄能力提升的必需书籍，可以学习切断神经技能。,Nerve Severer Tome,Hero skill tome used to learn Nerve Severer.,,,,,,,,
136020,item,精神爆发秘籍,英雄能力提升的必需书籍，可以学习精神爆发技能。,Elementalist Tome,Hero skill tome used to learn Elementalist.,,,,,,,,
136021,item,致命打击秘籍,英雄能力提升的必需书籍，可以学习致命打击技能。,Fatalist Tome,Hero skill tome used to learn Fatalist.,,,,,,,,
136022,item,重生秘籍,英雄能力提升的必需书籍，可以学习重生技能。,Double Lifer Tome,Hero skill tome used to learn Double Lifer.,,,,,,,,
136023,item,冥想秘籍,英雄能力提升的必需书籍，可以学习冥想技能。,Mediator Tome,Hero skill tome used to learn Mediator.,,,,,,,,
136024,item,盾牌格挡,英雄能力提升的必需书籍，可以学习盾牌格挡技能。,Block Tome,Hero skill tome used to learn Block ,,,,,,,,
136025,item,盾刺,英雄能力提升的必需书籍，可以学习盾刺技能。,Thorns Tome,Hero skill tome used to learn Thorns ,,,,,,,,
136026,item,强弓,英雄能力提升的必需书籍，可以学习强弓技能。,Strongbow Tome,Hero skill tome used to learn Strongbow ,,,,,,,,
136027,item,多重箭,英雄能力提升的必需书籍，可以学习多重箭技能。,Arrowrail Tome,Hero skill tome used to learn Arrowrail ,,,,,,,,
136028,item,奥术弹幕,英雄能力提升的必需书籍，可以学习奥术弹幕技能。,Arcane Bombardment Tome,Hero skill tome used to learn Arcane Bombardment ,,,,,,,,
136029,item,奥法之灵,英雄能力提升的必需书籍，可以学习奥法之灵技能。,Arcane Spirit Tome,Hero skill tome used to learn Arcane Spirit ,,,,,,,,
136030,item,高爆炸弹,英雄能力提升的必需书籍，可以学习高爆炸弹技能。,Stunner Bomb Tome,Hero skill tome used to learn Stunner Bomb ,,,,,,,,
136031,item,安全弹射装置,英雄能力提升的必需书籍，可以学习安全弹射装置技能。,Rocketeer Tome,Hero skill tome used to learn Rocketeer ,,,,,,,,
131108,item,金币25000,可获得金币*25000。,Gold*100,Receive 100 gold.,,,,,,,,
131109,item,金币200,可获得金币*200。,Gold*200,Receive 200 gold.,,,,,,,,
131110,item,金币300,可获得金币*300。,Gold*300,Receive 300 gold.,,,,,,,,
131111,item,金币400,可获得金币*400。,Gold*400,Receive 400 gold.,,,,,,,,
131112,item,金币500,可获得金币*500。,Gold*500,Receive 500 gold.,,,,,,,,
131113,item,钻石5,可获得钻石*5,Diamond*5,Receive 5 diamonds.,,,,,,,,
131114,item,钻石10,可获得钻石*10,Diamond*10,Receive 10 diamonds.,,,,,,,,
131118,item,金币600,可获得金币*600。,Gold*600,Receive 600 gold.,,,,,,,,
131119,item,金币25000,可获得金币*25000。,Gold*5000,Receive 5000 gold.,,,,,,,,
131120,item,金币1100,可获得金币*1100。,Gold*1100,Receive 1100 gold.,,,,,,,,
131121,item,金币1200,可获得金币*1200。,Gold*1200,Receive 1200 gold.,,,,,,,,
131122,item,钻石1,可获得钻石*1,Diamond*1,Receive 1 diamonds.,,,,,,,,
131124,item,寒冰魔杖,极寒之地的冰之女巫使用过的魔杖，法杖一直在散发着刺骨的寒气，据说在魔杖附近说的话都会被冻住！,Cold Wand,"Wand used by the witches of the tundra, it blows a wind so cold they say all near it freeze solid.",,,,,,,,
131125,item,威力十足的炸弹,炸弹人格雷斯为了对付邪恶势力而使用祖传秘制火药制成的炸弹，这种炸弹由于威力巨大一直没有在战场上使用过！,Potent Bomb,"Durin Atomika's homemade bomb, it is the most powerful explosive on the battlefield. Watch out!",,,,,,,,
131126,item,小生命卡,占卜女巫附魔过的卡片，使用后可以补充1点生命值,Life Card,"Magical card of the tundra witches, use grants 1 life.",,,,,,,,
131127,item,大生命卡,占卜女巫附魔过的卡片，使用后可以补充5点生命值,Longevity Card,"Magical card of the tundra witches, use grants 5 life.",,,,,,,,
131128,item,无杂质的金块,货栈商人提供给战士的军饷，使用后增加100金币,Perfect Gold ,"Soldier compensation from supplies, use to receive 100 gold",,,,,,,,
133129,item,黑暗灵魂水晶,邪恶的兽人酋长用以控制别人的施法道具，拥有极强的魔力。,Dark Soul Crystal,A magical crystal of increased power used by warlocks to hinder their enemies.,,,,,,,,
133130,item,优质的彩虹矿,品质更高的彩虹矿，可用于升级防御塔的攻击力和射程。,Quality Rainbow Ore,"Higher quality rainbow ore, used to fortify defense towers.",,,,,,,,
133131,item,纯净的彩虹矿,品质更高的彩虹矿，可用于升级防御塔的攻击力和射程。,Pure Rainbow Ore,"Higher quality rainbow ore, used to fortify defense towers.",,,,,,,,
133132,item,完美的彩虹矿,品质更高的彩虹矿，可用于升级防御塔的攻击力和射程。,Perfect Rainbow Ore,"Higher quality rainbow ore, used to fortify defense towers.",,,,,,,,
133133,item,优质的精灵木,品质更高的精灵木，可用于升级防御塔的攻击力和射程。,Quality Fairy Wood,"Higher quality fairy wood, used to fortify defense towers.",,,,,,,,
133134,item,纯净的精灵木,品质更高的精灵木，可用于升级防御塔的攻击力和射程。,Pure Fairy Wood,"Higher quality fairy wood, used to fortify defense towers.",,,,,,,,
133135,item,完美的精灵木,品质更高的精灵木，可用于升级防御塔的攻击力和射程。,Perfect Fairy Wood,"Higher quality fairy wood, used to fortify defense towers.",,,,,,,,
133136,item,上等石块,矮人工匠们精心加工的石料，建造防御塔的必要材料。,Notch Rock,"Dwarven forged strong rock, used to build defense towers.",,,,,,,,
133137,item,优质的乌金,品质更高的乌金，可用于升级防御塔的攻击力和射程。,Quality Black Gold,"Higher quality black gold, used to fortify defense towers.",,,,,,,,
